job_id,posted_at,title,company_name,city,state_code,remote_status,annual_salary_min,annual_salary_max,soc_name,occupation_family,experience_years_raw,education_level_raw,skills_count,skills_text
685436,2026-08-20T00:00:00+00:00,Financial Analyst (m/w/d),Univativ GmbH,Baden Württemberg,,unknown,,,Financial and Investment Analysts*,Business and Financial Operations Occupations,,,0,
678822,2026-08-18T00:00:00+00:00,PROGRAM ANALYST,U.s. Air Force Academy,Air Force Academy,CO,unknown,,,,,,,2,Administrative Functions; Business Operations
679137,2026-08-17T13:50:03.293000+00:00,FINANCIAL MANAGEMENT ANALYST,United States Fleet Forces Command,Fort Meade Naval Facilities,MD,unknown,,,Management Analysts*,Business and Financial Operations,,,2,Accounting; Budgeting
618648,2026-08-04T14:50:55.852000+00:00,Finance Analyst,Branchinsurance,Columbus,OH,remote,63000.0,90000.0,Models,Sales and Related Occupations,2.0,Bachelor,5,Accounting; Analytics; Artificial Intelligence; Automation; Banking
703409,2026-07-30T00:08:23+00:00,Senior Financial Analyst,Roku,Austin,TX,unknown,0.0,0.0,Financial and Investment Analysts*,Business and Financial Operations Occupations,,,0,
704889,2026-07-29T22:49:47.526000+00:00,Operations & Compliance Audit Leader,Openai,San Francisco,CA,hybrid,266000.0,295000.0,Management Analysts,Business and Financial Operations,10.0,Bachelor,10,Accountability; Accounting; Adaptability; Advising; AI Research; Analytics; Artificial Intelligence; Asana; Audit Planning; Automation
704923,2026-07-29T22:09:31.091000+00:00,"Associate Quantitative Trader, Voleon Securities",Voleon,New York City,NY,unknown,175000.0,175000.0,Data Scientists,Computer and Mathematical,,Master,5,Airflow; Analytics; Artificial Intelligence; Asset Classes; Automation
705193,2026-07-29T18:56:08.651000+00:00,Senior Auditor - Finance and Operations,Lambda,San Jose,CA,remote,184000.0,245000.0,Management Analysts,Business and Financial Operations,8.0,Bachelor,7,Accounting; Advisory Work; Analytical Skills; Analytics; Audit Management; Billing; Business Process
707933,2026-07-29T14:35:18.948000+00:00,Financial Analyst I,Kraken-Kinetics,Pinehurst,NC,onsite,70000.0,85000.0,Management Analysts,Business and Financial Operations,2.0,Bachelor,7,Accounting; Ad Hoc Reporting; Agility; Analytics; Billing; Business Decisions; Cash Collection
708976,2026-07-29T13:45:03.626000+00:00,Operations analyst - Transfers,Seccl,Edinburgh,,hybrid,30000.0,35000.0,Management Analysts,Business and Financial Operations,,,2,Automation; Business Reporting
710466,2026-07-29T13:02:01.677000+00:00,U.S. Export Control Manager,Kraken-Kinetics,Pinehurst,NC,hybrid,105000.0,130000.0,Management Analysts,Business and Financial Operations,5.0,Bachelor,5,Access Controls; Agility; Analytical Skills; Automation; Business Development
755282,2026-07-28T23:45:52.498000+00:00,Onboarding Specialist,Every-Io,,,remote,80000.0,130000.0,Management Analysts,Business and Financial Operations,1.0,Bachelor,4,Banking; Billing; Billing Systems; Bookkeeping
759185,2026-07-28T22:27:50.270000+00:00,AI Engineer,Farsight,New York City,NY,remote,200000.0,300000.0,Data Scientists,Computer and Mathematical,2.0,,2,Agentic AI; Agentic Systems
759187,2026-07-28T22:26:04.023000+00:00,"Solutions Consultant, Mid-Market",Ramp,New York City,NY,unknown,151000.0,231000.0,Management Analysts,Business and Financial Operations,3.0,Bachelor,5,Accounting; Accounting Systems; Account Management; Acting; Adaptability
759203,2026-07-28T22:19:22.934000+00:00,"Senior Operations Manager, Implementation and Accounts",Commure,San Francisco,CA,remote,120000.0,160000.0,Management Analysts,Business and Financial Operations,6.0,,5,Account Management; Acting; Banking; Billing; Business Metrics
774537,2026-07-28T20:19:23.255000+00:00,Senior Sales Manager- Costco,Kevins-Natural-Foods,,,remote,170000.0,185000.0,Management Analysts,Business and Financial Operations,7.0,Bachelor,3,Account Management; Business Administration; Business Planning
774605,2026-07-28T20:12:03.808000+00:00,Customer Finance Analyst,Prompt,,,hybrid,55000.0,60000.0,Management Analysts,Business and Financial Operations,2.0,Bachelor,2,Accounts Receivable; Billing
778827,2026-07-28T15:33:32.715000+00:00,Sr Finance & Operations Associate,Salient,San Francisco,CA,onsite,150000.0,180000.0,Management Analysts,Business and Financial Operations,3.0,Bachelor,10,Accounting; Accounts Payable; Accounts Receivable; AI Agents; Analytical Skills; Automation; Banking; Budgeting; Business Insurance; Business Operations
